Ad group,Keyword,Status,Max. CPC,Impressions,Avg. position,Clicks,CTR,Avg. CPC,Match type,Cost,Conversions,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (rank),Quality score
Surgeon,beltway surgery center,below first page bid (First page cpc : 6.71),4,4878,1.1,530,10.87%,0.53,Broad,279.01,"1,147.00",0.24,216.42%,66.73%,31.83%,7
Davinci Surgery,+davinci +medical +robot,eligible,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,< 10%,0.00%,--
Surgeon,+indianapolis +indiana +surgeons,eligible,4,3,1.7,1,33.33%,1.16,Broad,1.16,1,1.16,100.00%,100.00%,0.00%,--
Smoking,+medical +programs +to +quit +smoking,low search volume,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Pharmacy Clinics,+pharmacy +clinic +near +me,eligible,6,1,1,0,0.00%,0,Broad,0,0,0,0.00%,50.00%,0.00%,6
Hospital,+university +hospital +indianapolis +in,below first page bid (First page cpc : 6.77),6,7,1,0,0.00%,0,Broad,0,0,0,0.00%,77.78%,22.22%,5
Hospital,+hospital +indianapolis +indiana,eligible,6,19,1.3,2,10.53%,1.79,Broad,3.58,2,1.79,100.00%,24.36%,16.67%,5
Symptom Checker,+web +medical,eligible,6,89,1.5,13,14.61%,1.47,Broad,19.09,0,0,0.00%,67.42%,6.82%,--
Symptom Checker,+should +I +go +to +the +hospital,low quality score,6,31,1,2,6.45%,2.16,Broad,4.32,0,0,0.00%,79.49%,17.95%,1
Clinic,+indianapolis +clinic,eligible,6,71,1.6,5,7.04%,1.85,Broad,9.25,1,9.25,20.00%,61.21%,18.10%,3
Health Services,+IN +health +services,eligible,6,99,1.8,1,1.01%,4.91,Broad,4.91,0,0,0.00%,25.06%,22.28%,--
Symptom Checker,+symptoms +online +diagnosis,eligible,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Nutrition,+professional +nutritionists +indiana,low search volume,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Hospital,+hospital +indianapolis,eligible,6,318,1.2,5,1.57%,3.72,Broad,18.59,5,3.72,100.00%,31.52%,18.63%,5
Smoking,+smoking +and +health +effects,eligible,6,0,0,0,0.00%,0,Broad,0,0,0,0.00%,--,--,--
Hospital,+hospital +in +indiana,eligible,6,254,1.2,7,2.76%,1.02,Broad,7.17,5,1.43,71.43%,60.77%,25.36%,5
Nutrition,+indiana +nutritionists,eligible,6,31,1.1,2,6.45%,1.23,Broad,2.46,0,0,0.00%,24.80%,0.80%,7
